"Priority","Category","Count","Rule","EventIDs","TopProcesses","TopParents","CommandLineExamples","TargetExamples","MITRE_ID","MITRE_Technique","NormalBehaviorHypothesis","NextCheck"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off Microsoft Defender AntiVirus' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enable news and interests on the taskbar' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow UI Automation redirection' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow search and Cortana to use location' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Configure Windows Defender SmartScreen' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enables or disables Windows Game Recording and Broadcasting' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow Windows Ink Workspace' is set to 'Enabled: On, but disallow access above lock' OR 'Disabled' but not 'Enabled: On'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off KMS Client Online AVS Validation' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Only display the private store within the Microsoft Store' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Configure Windows Defender SmartScreen' is set to 'Enabled: Warn and prevent bypass'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Problem Reports and Solutions Control Panel Support (wercplsupport)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Remote Procedure Call (RPC) Locator (RpcLocator)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Remote Registry (RemoteRegistry)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Microsoft iSCSI Initiator Service (MSiSCSI)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'OpenSSH SSH Server (sshd)' is set to 'Disabled' or 'Not Installed'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Peer Networking Grouping (p2psvc)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'SNMP Service (SNMP)' is set to 'Disabled' or 'Not Installed'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Xbox Live Auth Manager (XblAuthManager)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Domain: Settings: Display a notification' is set to 'No'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Private: Firewall state' is set to 'On (recommended)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'SSDP Discovery (SSDPSRV)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Error Reporting Service (WerSvc)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Remote Management (WS-Management) (WinRM)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'System cryptography: Force strong key protection for user keys stored on the computer' is set to 'User is prompted when the key is first used' or higher.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'User Account Control: Behavior of the elevation prompt for standard users' is set to 'Automatically deny elevation requests'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'User Account Control: Run all administrators in Admin Approval Mode' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network security: LAN Manager authentication level' is set to 'Send NTLMv2 response only. Refuse LM & NTLM'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network security: Minimum session security for NTLM SSP based (including secure RPC) clients' is set to 'Require NTLMv2 session security, Require 128-bit encryption'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network security: Minimum session security for NTLM SSP based (including secure RPC) servers' is set to 'Require NTLMv2 session security, Require 128-bit encryption'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Bluetooth Audio Gateway Service (BTAGService)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Infrared monitor service (irmon)' is set to 'Disabled' or 'Not Installed'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Internet Connection Sharing (ICS) (SharedAccess)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'LxssManager (LxssManager)' is set to 'Disabled' or 'Not Installed'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Bluetooth Support Service (bthserv)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Geolocation Service (lfsvc)' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'IIS Admin Service (IISADMIN)' is set to 'Disabled' or 'Not Installed'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Private: Inbound connections' is set to 'Block (default)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (ScreenSaverGracePeriod) The time in seconds before the screen saver grace period expires (0 recommended)' is set to 'Enabled: 5 or fewer seconds'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning' is set to 'Enabled: 90% or less'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Configure DNS over HTTPS (DoH) name resolution' is set to 'Enabled: Allow DoH' or higher.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'NetBT NodeType configuration' is set to 'Enabled: P-node'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'WDigest Authentication' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)' is set to 'Enabled: Highest protection, source routing is completely disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off multicast name resolution' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off Microsoft Peer-to-Peer Networking Services' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Require domain users to elevate when setting a network's location' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Prohibit connection to non-domain networks when connected to domain authenticated network' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enable Font Providers' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enable insecure guest logons' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn on Responder (RSPNDR) driver' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Logon' is set to 'Success and Failure'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Detailed File Share' is set to include 'Failure'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit File Share' is set to 'Success and Failure'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Public: Settings: Apply local connection security rules' is set to 'No'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Windows Firewall: Public: Logging: Log successful connections' is set to 'Yes'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Application Group Management' is set to 'Success and Failure'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit MPSSVC Rule-Level Policy Change' is set to 'Success and Failure'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Security System Extension' is set to include 'Success'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow users to enable online speech recognition services' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Password Settings: Password Age (Days)' is set to 'Enabled: 30 or fewer'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Other Policy Change Events' is set to include 'Failure'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit IPsec Driver' is set to 'Success and Failure'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit Security State Change' is set to include 'Success'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\UnistoreSvc_50027\\ImagePath binary is: C:\\Windows\\System32\\svchost.exe -k UnistackSvcGroup","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\UnistoreSvc_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"A","Script / PowerShell","1","Suspicious file compression activity by powershell: C:\\Users\\win10pro\\Downloads\\Scripts\\Scripts\\Collector\\logs.zip","11:1","C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe (1)","","","C:\\Users\\win10pro\\Downloads\\Scripts\\Scripts\\Collector\\logs.zip","T1105","Ingress Tool Transfer","Chocolatey、開発ツール、Wazuh/SCA、インストール処理による一時スクリプト生成・PowerShell利用","作成ファイルパス、親プロセス、同時刻のソフト導入・更新イベントを確認"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Minimum password age' is set to '1 or more day(s)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","その他","1","Printer spooler service loaded a dll file. Possible PrintNightmare exploit: CVE-2021-34527","7:1","C:\\Windows\\System32\\spoolsv.exe (1)","","","","T1210","Exploitation of Remote Services","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\DevicesFlowUserSvc_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k DevicesFlow","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\DevicesFlowUserSvc_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\UdkUserSvc_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k UdkSvcGroup","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\UdkUserSvc_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Relax minimum password length limits' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Devices: Allowed to format and eject removable media' is set to 'Administrators and Interactive Users'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Devices: Prevent users from installing printer drivers' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Domain member: Digitally encrypt secure channel data (when possible)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Accounts: Guest account status' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Configure 'Accounts: Rename guest account'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Audit: Shut down system immediately if unable to log security audits' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off Search Companion content file updates' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off the ""Order Prints"" picture task' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure'Turn off the ""Publish to Web"" task for files and folders' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off handwriting personalization data sharing' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off handwriting recognition error reporting' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off printing over HTTP' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off the Windows Messenger Customer Experience Improvement Program' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\BluetoothUserService_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k BthAppGroup -p","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\BluetoothUserService_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
